	Name	Address	Phone	Longitude	Latitude
48	Bufet pri Astrahanskih banjah	gorod Moskva, Astrahanskij pereulok, dom 5/9	(495) 344-11-68	37.63957789928531	55.77888133760811
49	Stolovaja pri shkole 2097	gorod Moskva, Aerodromnaja ulitsa, dom 9	(495) 395-32-25	37.430252	55.84698778393582
50	BUFET ShK.199	gorod Moskva, ulitsa Ivana Babushkina, dom 15, korpus 1-2	(499) 124-18-12	37.56309022589957	55.68438723959252
51	KARL BALENG	gorod Moskva, ulitsa Ivana Babushkina, dom 17, korpus 1	(499) 125-04-97	37.561028860670596	55.6846628132219
52	GBOU Shkola № 1078	gorod Moskva, Altajskaja ulitsa, dom 10A	(495) 466-36-31	37.80776600000001	55.818914775729695
53	Staryj dvorik	gorod Moskva, Bajkal'skaja ulitsa, dom 31	(495) 466-12-77	37.80832380375271	55.81759637356009
54	Pivnoj pogrebok	gorod Moskva, Bakinskaja ulitsa, dom 29	(963) 779-40-38	37.66038001579207	55.618101777082245
55	TANUKI	gorod Moskva, Balaklavskij prospekt, dom 48, korpus 1	(499) 122-01-38	37.5721332059936	55.6482135986494
56	Spetsializirovannyj tseh Magnolija	gorod Moskva, ulitsa Barklaja, dom 16, korpus 1	(499) 145-46-25	37.496599200248674	55.745867477141466
57	Shokoladnitsa	gorod Moskva, Baumanskaja ulitsa, dom 33/2, stroenie 1	(495) 916-57-62	37.678681276899106	55.77302899555391
58	MU-MU	gorod Moskva, Baumanskaja ulitsa, dom 35/1	(499) 261-33-58	37.678960226636995	55.771586681103294
59	Bek tu Blek	gorod Moskva, Tatarskaja ulitsa, dom 14	(495) 916-90-55	37.637574004125156	55.7339144144126
60	Svoboda	gorod Moskva, Bashilovskaja ulitsa, dom 21	(495) 685-49-90	37.57473557956581	55.80129048362571
61	Hinkal'nyj dom Kolhida	gorod Moskva, Begovaja ulitsa, dom 7	(962) 888-59-95	37.55612	55.778380999
62	Glav Pirog	gorod Moskva, Begovaja ulitsa, dom 17, korpus 1	(926) 554-54-08	37.55985278607431	55.78177895431193
63	Rozmarin	gorod Moskva, Begovaja ulitsa, dom 28	(495) 945-30-31	37.5606759676678	55.7814827124128
64	AZERBAJDZhAN	gorod Moskva, ulitsa Dem'jana Bednogo, dom 4	(495) 946-34-30	37.486914061171504	55.769830485601204
65	ORHIDEJa	gorod Moskva, Belorechenskaja ulitsa, dom 13, korpus 1	(495) 359-47-47	37.7664798035654	55.67321629542231
66	KRUZhKA	gorod Moskva, Berezhkovskaja naberezhnaja, dom 8	(499) 240-22-74	37.56627366325417	55.7394658905064
67	Kafe Bar Bul'var	gorod Moskva, Beskudnikovskij bul'var, dom 40, korpus 3	(499) 489-72-26	37.551406851302794	55.8738792716378
68	Vojazh	gorod Moskva, Beskudnikovskij bul'var, dom 57, korpus 1	(499) 485-20-00	37.538326789741	55.872553383512496
69	GBOU Shkola № 1411 (267)	gorod Moskva, ulitsa Bestuzhevyh, dom 23	(499) 404-15-09	37.609625999999984	55.87213179130298
70	Zhigulevskoe	gorod Moskva, Bibirevskaja ulitsa, dom 7, korpus 1	(964) 565-61-28	37.59308635976602	55.88024342230735
71	Sestry	gorod Moskva, ulitsa Marshala Birjuzova, dom 4, korpus 1	(916) 229-51-50	37.4995633588858	55.79077293982049
72	LUKUM	gorod Moskva, ulitsa Marshala Birjuzova, dom 12	(499) 198-23-51	37.494382722179445	55.793594661729024
73	SUShI SHOP	gorod Moskva, ulitsa Marshala Birjuzova, dom 13	(926) 559-48-02	37.49491473218983	55.79219275316868
74	Hinkal'naja	gorod Moskva, ulitsa Marshala Birjuzova, dom 16	(499) 728-47-01	37.491709793339744	55.79476126986192
75	ShAURMA ZhI	gorod Moskva, ulitsa Marshala Birjuzova, dom 19	(903) 018-74-64	37.49112002224252	55.794378830665885
76	Primavera	gorod Moskva, ulitsa Marshala Birjuzova, dom 21	(903) 232-59-70	37.4903794752185	55.794729684502
77	BULOChNAJa № 5	gorod Moskva, ulitsa Marshala Birjuzova, dom 28	(985) 969-85-20	37.487013236604966	55.797370744416746
78	Idilija	gorod Moskva, Bojtsovaja ulitsa, dom 17, korpus 1	(499) 160-24-02	37.7181630996081	55.8116875743426
79	Bufet Shkola № 554	gorod Moskva, Bolotnikovskaja ulitsa, dom 47, korpus 1	(929) 623-03-21	37.58323602169326	55.66186417434049
80	Skazka Vostoka	gorod Moskva, Koktebel'skaja ulitsa, dom 11, stroenie 3	(495) 510-76-61	37.585911327304956	55.56417436819395
81	STOLOVAJa PRI ShKOLE 1494 (3)	gorod Moskva, Botanicheskaja ulitsa, dom 11	(495) 619-24-39	37.6007507740932	55.8255072570794
82	Kafe	gorod Moskva, 1-j Botkinskij proezd, dom 2/6	(495) 945-22-34	37.55643137063551	55.781141341601696
83	STARYJ BATUM'	gorod Moskva, ulitsa Akademika Bochvara, dom 7, korpus 1	(495) 942-44-85	37.461669109923506	55.8060307318284
84	SUShI-SET	gorod Moskva, ulitsa Akademika Bochvara, dom 7, korpus 1	(977) 979-50-20	37.4620687381545	55.80587953288307
85	Varenichnaja №1	gorod Moskva, 2-ja Brestskaja ulitsa, dom 43	(916) 128-99-75	37.583870552642	55.7745436700123
86	KOMBINAT PITANIJa MGTU IM.N.E.BAUMANA	gorod Moskva, Brigadirskij pereulok, dom 3-5	(499) 261-51-67	37.679609224948955	55.76545455297085
87	Pitstserija «AKADEMIJa»	gorod Moskva, Bol'shaja Bronnaja ulitsa, dom 2/6	(495) 745-60-79	37.59749634079649	55.7600158552018
88	Cheburechnaja SSSR	gorod Moskva, Bol'shaja Bronnaja ulitsa, dom 27/4	(495) 694-54-76	37.60256453956346	55.764134959774346
89	One Double Cofe	gorod Moskva, Bol'shaja Bronnaja ulitsa, dom 27/4	(495) 650-12-43	37.60256453956346	55.764134959774346
90	MAKDONALDS	gorod Moskva, Bol'shaja Bronnaja ulitsa, dom 29	(495) 650-16-55	37.6029091881872	55.7646312620702
91	Kafe «Est' Hinkali, pit' Vino»	gorod Moskva, Malaja Bronnaja ulitsa, dom 4	(495) 975-55-35	37.59745155026576	55.759580401347804
92	Kafe «Laffa Laffa»	gorod Moskva, Malaja Bronnaja ulitsa, dom 4	(495) 975-55-45	37.59745155026576	55.759580401347804
93	Restoran «Humans seafood bar»	gorod Moskva, Malaja Bronnaja ulitsa, dom 10, stroenie 1	(495) 665-73-43	37.59666362271272	55.7607277189359
94	Restoran «Golos»	gorod Moskva, Malaja Bronnaja ulitsa, dom 10, stroenie 1	(925) 111-17-74	37.596685787493406	55.760724678878695
95	Kafe «Estetik»	gorod Moskva, Malaja Bronnaja ulitsa, dom 20, stroenie 1	(495) 691-17-71	37.595741379905114	55.76234751668699
96	AVOCADO QUEEN	gorod Moskva, Malaja Bronnaja ulitsa, dom 20, stroenie 1	(495) 609-09-38	37.59576979062151	55.762344808272395
97	Uilliams	gorod Moskva, Malaja Bronnaja ulitsa, dom 20A	(495) 650-65-00	37.595527433020095	55.76253327971369
98	Grand Cru	gorod Moskva, Malaja Bronnaja ulitsa, dom 22, stroenie 2	(499) 650-01-18	37.595009999999995	55.76297775943895
99	Kafe «Ladure»	gorod Moskva, Malaja Bronnaja ulitsa, dom 27/14	(499) 678-08-00	37.59397881001305	55.763401642703414
100	Bil'jardnyj Bar-klub Polkovnik i Bajron	gorod Moskva, prospekt Budennogo, dom 1/1	(495) 365-22-24	37.721607349974896	55.7785020631572
101	Pitstserija «Pitto»	gorod Moskva, prospekt Budennogo, dom 24, korpus 1	(495) 366-89-45	37.7319070325922	55.7651529466639
102	Chajhona №1	gorod Moskva, ulitsa Butlerova, dom 22	(495) 334-16-85	37.534833557490444	55.64914335898365
103	Shokoladnitsa	gorod Moskva, Butyrskaja ulitsa, dom 7	(495) 981-19-63	37.58387830286944	55.794368936661535
105	Finist	gorod Moskva, Butyrskaja ulitsa, dom 11	(495) 685-38-89	37.5833655849056	55.7958115839881
106	Chom Chom	gorod Moskva, Butyrskaja ulitsa, dom 84	(965) 433-43-86	37.58255627022431	55.8064075779024
107	Pancho Pitstsa	gorod Moskva, Butyrskaja ulitsa, dom 89	(495) 780-30-34	37.5813600050037	55.806054850085
108	KFC	gorod Moskva, Butyrskaja ulitsa, dom 89	(495) 380-03-54	37.58139219151169	55.806054850085
109	PIZZA HUT	gorod Moskva, ulitsa Vavilova, dom 72/13	(916) 831-73-33	37.547629324075764	55.68137658803453
110	IL Borgo	gorod Moskva, ulitsa Vavilova, dom 81	(499) 132-87-83	37.547978	55.680713
111	Radea	gorod Moskva, Nahimovskij prospekt, vladenie 75A	(499) 135-33-16	37.552720038045244	55.68345394203145
112	Dabl Bi	gorod Moskva, Valovaja ulitsa, dom 2-4/44, stroenie 1	(903) 700-52-89	37.635314	55.731222
113	Sabvej	gorod Moskva, Valovaja ulitsa, dom 6	(905) 764-17-89	37.63389514799414	55.73108025199367
114	restoran «Jakitorija»	gorod Moskva, Valovaja ulitsa, dom 8/18	(495) 951-84-82	37.63152782781391	55.730831022576844
115	kafe Baloven'	gorod Moskva, Valovaja ulitsa, dom 11/19	(499) 235-73-67	37.63242856912604	55.730236442661855
116	Sovetskie vremena	gorod Moskva, Varsonof'evskij pereulok, dom 6	(495) 625-71-72	37.625946796859296	55.7631967528984
117	Kafe «Subway»	gorod Moskva, Varshavskoe shosse, dom 7, korpus 1	(903) 105-45-43	37.622412630846405	55.7008837507207
118	Kafe «Lamadzho»	gorod Moskva, Varshavskoe shosse, dom 29	(495) 735-54-03	37.62210580616406	55.69323430351479
119	Shaurma v pite	gorod Moskva, Varshavskoe shosse, dom 72, korpus 2	(909) 978-05-50	37.61877125032963	55.656838628142665
120	Restoran «Makdonalds»	gorod Moskva, Varshavskoe shosse, dom 143A	(495) 727-11-40	37.59921555727577	55.58394032265868
121	Makdonalds	gorod Moskva, ulitsa Marshala Vasilevskogo, dom 17	(499) 193-01-31	37.46287073956191	55.8085751256853
122	Gorodskaja kofejnja	gorod Moskva, Vasil'evskaja ulitsa, dom 2, korpus 1	(495) 773-23-53	37.58577270069652	55.769837554347966
123	TANUKI	gorod Moskva, Velozavodskaja ulitsa, dom 6	(495) 618-89-77	37.66494496568687	55.712287558023775
124	Avlabar	gorod Moskva, Velozavodskaja ulitsa, dom 6	(495) 118-40-00	37.66494496568687	55.712287558023775
125	Pirogovaja Rogova	gorod Moskva, prospekt Vernadskogo, dom 9/10	(964) 635-33-77	37.53220694806775	55.69057839899543
126	Kafe kontditerskaja Kuzina	gorod Moskva, prospekt Vernadskogo, dom 11/19	(495) 780-08-62	37.52916678031804	55.68886806281346
127	Sushi WoK	gorod Moskva, prospekt Vernadskogo, dom 11/19	(499) 754-44-44	37.52916678031804	55.68886806281346
128	Amore	gorod Moskva, prospekt Vernadskogo, dom 11/19	(495) 930-70-20	37.52916678031804	55.68886806281346
129	Shokolad	gorod Moskva, prospekt Vernadskogo, dom 11/19	(495) 938-27-72	37.529623	55.689188
130	Kafe 35	gorod Moskva, ulitsa Kravchenko, dom 24/35	(499) 131-71-00	37.513429	55.679914
131	Bufet	gorod Moskva, prospekt Vernadskogo, dom 86, stroenie 1	(495) 434-55-01	37.474446	55.660494
132	Panorama 93	gorod Moskva, prospekt Vernadskogo, dom 93	(495) 120-66-17	37.4951202626655	55.6674110893323
133	Kafe «Pekarnja «Mjunger»»	gorod Moskva, prospekt Vernadskogo, dom 97, korpus 1	(495) 792-17-30	37.4909802590976	55.667448143043295
134	GudBar	gorod Moskva, prospekt Vernadskogo, dom 97, korpus 1	(495) 433-31-12	37.490658424956706	55.6674181883104
135	Kafe «TEATR NA JuGO-ZAPADE»	gorod Moskva, prospekt Vernadskogo, dom 125	(495) 434-11-91	37.481195591552	55.655568502010894
136	Ugol	gorod Moskva, Verhnjaja ulitsa, dom 3, korpus 2	(499) 257-04-63	37.5749800416635	55.776623502197296
137	BAR V FITNES KLUBE	gorod Moskva, Glazovskij pereulok, dom 5	(499) 795-13-18	37.5874647117225	55.7437860579185
138	MARINA	gorod Moskva, ulitsa Veshnih Vod, dom 8, korpus 2	(499) 183-16-66	37.6997853853092	55.8595184059192
139	Kafe-bar «Karaoke MyzOn»	gorod Moskva, Veshnjakovskaja ulitsa, dom 2	(495) 918-74-02	37.81995151285953	55.73756983446629
140	PRI ShKOLE 781	gorod Moskva, Veshnjakovskaja ulitsa, dom 2	(495) 375-13-00	37.81995151285953	55.73756983446629
141	Gambrinus	gorod Moskva, 1-ja Vladimirskaja ulitsa, dom 9	(495) 306-37-64	37.77443279164496	55.75947587865381
142	Pitstsa Fabrika	gorod Moskva, 1-ja Vladimirskaja ulitsa, dom 14	(495) 787-26-65	37.77497591168257	55.75700016661588
143	Shaurma, kury-gril'	gorod Moskva, 1-ja Vladimirskaja ulitsa, dom 21	(919) 970-70-01	37.776921106101824	55.75608422501774
144	Frantsuzskaja vypechka	gorod Moskva, 1-ja Vladimirskaja ulitsa, dom 39/12	(926) 033-01-58	37.78055342172077	55.74954622272495
145	Bufet pri TsO №1852	gorod Moskva, 2-ja Vladimirskaja ulitsa, dom 22	(495) 306-27-37	37.78054883399808	55.75629912942505
146	Subway	gorod Moskva, 2-ja Vladimirskaja ulitsa, dom 36	(926) 587-03-32	37.78354765696985	55.75099284776306
148	Domino's Pitstsa	gorod Moskva, 2-ja Vladimirskaja ulitsa, dom 52, korpus 2	(495) 478-88-14	37.78670743715204	55.74617739715479
149	Domino's Pitstsa	gorod Moskva, 3-ja Vladimirskaja ulitsa, dom 6	(495) 925-51-45	37.7847958491833	55.76216660564658
151	Tanuki	gorod Moskva, 3-ja Vladimirskaja ulitsa, dom 29	(495) 304-79-00	37.7914091573784	55.7534053233054
152	Shkol'naja stolovaja	gorod Moskva, ulitsa Arhitektora Vlasova, dom 11, korpus 3	(495) 128-18-11	37.55505800000001	55.678385734955945
153	Allo Pitstsa	gorod Moskva, ulitsa Arhitektora Vlasova, dom 47	(495) 956-12-22	37.543812780990365	55.66639159334729
154	STOLOVAJa PRI INSTITUTE IM. PUShKINA	gorod Moskva, ulitsa Akademika Volgina, dom 6	(495) 935-05-38	37.51800363499783	55.65336522460474
155	Hinkal'naja	gorod Moskva, ulitsa Akademika Volgina, dom 29, korpus 1	(495) 336-48-11	37.5080353979794	55.64371359572547
156	DURDIN'	gorod Moskva, Volgogradskij prospekt, dom 4	(495) 676-02-76	37.6706346498552	55.7310654222888
157	Kafe «Jakitorija»	gorod Moskva, Volgogradskij prospekt, dom 15	(495) 676-25-44	37.6770438528807	55.7294040645839
158	GBOU Shkola №1468	gorod Moskva, Volgogradskij prospekt, dom 17, stroenie 1	(495) 393-03-57	37.67996931529645	55.7292124961224
159	Kafe «Cheburekas»	gorod Moskva, Volgogradskij prospekt, dom 17, stroenie 1	(926) 994-04-24	37.67999019489951	55.7293376078054
160	Kafe «Tanuki»	gorod Moskva, Volgogradskij prospekt, dom 17	(495) 676-99-22	37.6793250070634	55.7285038812421
161	Loft 17	gorod Moskva, Volgogradskij prospekt, dom 17	(495) 185-21-61	37.67865335744428	55.72874106616099
162	GBOU «Shkola № 641 im. Sergeja Esenina»	gorod Moskva, Volgogradskij prospekt, dom 66, korpus 4	(499) 919-03-24	37.756870000000006	55.70447974248854
163	GBOU «Shkola № 825»	gorod Moskva, Volgogradskij prospekt, dom 103, korpus 6	(499) 919-03-24	37.757104000000005	55.709576743961925
164	GBOU «Shkola na Jugo-Vostoke imeni Marshala V.I. Chujkova»	gorod Moskva, Volgogradskij prospekt, dom 157, korpus 4	(499) 919-03-24	37.78725899999999	55.70554274279577
165	Siti Pitstsa	gorod Moskva, Ferganskaja ulitsa, dom 12	(495) 974-74-06	37.80873718403081	55.708165406278916
166	Kruzhka	gorod Moskva, Volokolamskoe shosse, dom 3	(495) 411-94-45	37.502665895190304	55.806947298940706
167	PRO kafe	gorod Moskva, Volokolamskoe shosse, dom 13	(499) 158-24-70	37.495947741133904	55.80735118447009
168	GBOU Shkola № 1384	gorod Moskva, Novopeschanaja ulitsa, dom 15	(499) 158-70-00	37.51545099999999	55.79825176970253
169	Cheburechnaja SSSR	gorod Moskva, Volokolamskoe shosse, dom 15/22	(499) 158-10-90	37.493651770217205	55.808756000433696
170	Anglijskij pab Bukingem	gorod Moskva, Volokolamskoe shosse, dom 15/22	(499) 158-91-36	37.4944730388843	55.8083656113848
171	SushiStore	gorod Moskva, Volokolamskoe shosse, dom 92	(926) 073-97-76	37.43450343402693	55.82475182107788
172	IL PIZZAIOLO	gorod Moskva, ulitsa Volhonka, dom 6	(495) 697-25-15	37.608625413487005	55.7485492763152
173	Pel'meni	gorod Moskva, ulitsa Volhonka, dom 7/6	(499) 697-60-76	37.608238862049696	55.7473126410773
174	GBOU ShKOLA 896 «KDP»	gorod Moskva, Voronezhskaja ulitsa, dom 26, korpus 4	(495) 398-79-50	37.737065	55.6084957148672
175	Eko-Njama	gorod Moskva, Vorontsovskaja ulitsa, dom 13/14, stroenie 3	(906) 754-63-27	37.666471861464196	55.73933189108671
176	Kafe «Verona»	gorod Moskva, Vorontsovskaja ulitsa, dom 36, stroenie 1	(495) 676-41-50	37.661599	55.73436980362591
177	Frantsuzskaja pekarnja Baravi-T	gorod Moskva, Vorontsovskaja ulitsa, dom 48	(903) 718-98-78	37.66385159529567	55.73259210007719
178	Kafe «Subway»	gorod Moskva, Vorontsovskaja ulitsa, dom 48	(926) 908-31-05	37.6639183984826	55.7328233638176
179	Tirol'skie pirogi	gorod Moskva, Vorontsovskaja ulitsa, dom 48	(915) 353-27-92	37.66385159529567	55.73259210007719
180	OOO «TEATRO»	gorod Moskva, Vorotnikovskij pereulok, dom 11, stroenie 1	(495) 299-58-52	37.601475375411	55.7703887962695
181	Restoran «Balzi Rossi»	gorod Moskva, Kudrinskaja ploschad', dom 1	(499) 255-48-33	37.5810151367724	55.759338181713694
182	Kofe Hauz	gorod Moskva, Kudrinskaja ploschad', dom 1	(495) 221-83-81	37.5807967411105	55.7596478207301
183	Kafe «Konditerskaja Olega Il'ina»	gorod Moskva, Kudrinskaja ploschad', dom 1	(495) 799-70-07	37.58082940186447	55.75914810521364
184	Klub «Vysotka»	gorod Moskva, Kudrinskaja ploschad', dom 1	(495) 605-12-91	37.58082940186447	55.75914810521364
185	SUSchEVSKIJ DVORIK	gorod Moskva, 2-j Vysheslavtsev pereulok, dom 17	(495) 684-29-63	37.60662174463174	55.790409068697514
186	STOLOVAJa AKADEMII MChS ROSSII	gorod Moskva, ulitsa Borisa Galushkina, dom 5	(495) 682-13-71	37.652984385725645	55.82536480715737
187	Kofejnja Avenju	gorod Moskva, ulitsa Borisa Galushkina, dom 10	(499) 750-22-52	37.65310449562202	55.82426253768963
188	Kafe	gorod Moskva, ulitsa Borisa Galushkina, dom 26	(499) 180-05-83	37.6643169880991	55.8205352226694
189	Elit	gorod Moskva, ulitsa Gastello, dom 37	(499) 268-37-96	37.6896997915322	55.7840558073774
190	Stolovaja GBPOU ZKNO	gorod Moskva, Gvardejskaja ulitsa, dom 15, korpus 1	(495) 446-04-56	37.4231890569492	55.724834669105
191	Sushi Set	gorod Moskva, ulitsa Geroev Panfilovtsev, dom 1, korpus 1	(495) 150-55-22	37.437211295887565	55.852429994238314
192	BUFET	gorod Moskva, ulitsa Geroev Panfilovtsev, dom 51	(495) 758-78-81	37.40821379317516	55.85160414888089
193	KOTIKILJuDI	gorod Moskva, ulitsa Giljarovskogo, dom 17	(926) 322-04-25	37.630181524663485	55.776582833268186
194	Shantimel'	gorod Moskva, ulitsa Giljarovskogo, dom 60, stroenie 1	(495) 772-17-32	37.63303984171875	55.787471046869776
195	Pri shkole 1294	gorod Moskva, Glebovskaja ulitsa, dom 10	(499) 169-35-93	37.715442084575756	55.8132117086646
196	Hachapuri	gorod Moskva, Bol'shoj Gnezdnikovskij pereulok, dom 10	(985) 764-31-18	37.605514157144995	55.7634073870805
197	Craft RePUBlic	gorod Moskva, Malyj Gnezdnikovskij pereulok, dom 9, stroenie 7	(495) 629-89-84	37.60660720763094	55.76284658353207
198	MU-MU	gorod Moskva, Malyj Gnezdnikovskij pereulok, dom 9, stroenie 7	(499) 261-36-76	37.606685422193905	55.7628402244174
199	Baba Marta	gorod Moskva, Gogolevskij bul'var, dom 8	(495) 232-92-09	37.60083284245151	55.74581819700289
200	Hinkal'naja	gorod Moskva, Gogolevskij bul'var, dom 23	(967) 102-03-08	37.59924048574482	55.74805863982528
201	Chemodan	gorod Moskva, Gogolevskij bul'var, dom 25, stroenie 1	(495) 695-38-19	37.599333898411594	55.748481539418975
202	Kulinarnaja lavka brat'ev Karavaevyh	gorod Moskva, Gogolevskij bul'var, dom 33/1	(495) 691-29-57	37.59958837883629	55.750787229348646
203	Restoran «Monte Kristo»	gorod Moskva, ulitsa Marshala Golovanova, dom 19	(495) 349-77-77	37.730487288035505	55.643975079299295
204	Sushi Vok	gorod Moskva, Gorodetskaja ulitsa, dom 3	(499) 754-44-44	37.866781162013474	55.74394804029778
205	Jakitorija	gorod Moskva, Tverskaja ulitsa, dom 6, stroenie 1	(495) 692-53-59	37.610790147242	55.7607711240584
206	Golovu s plech	gorod Moskva, Tverskaja ulitsa, dom 12, stroenie 1	(915) 070-09-60	37.607886408427845	55.76340440639177
207	Hleb i Vino	gorod Moskva, Tverskaja ulitsa, dom 12, stroenie 2	(968) 421-01-62	37.607569745014914	55.76383891347661
